,wavelength,intensity
1179,317.9,1260.241
1180,318.0,1260.56
1181,318.1,1261.0
1182,318.2,1261.661
1183,318.3,1262.867
1184,318.4,1265.0
1185,318.5,1268.388
1186,318.6,1273.145
1187,318.7,1279.329
1188,318.8,1287.0
1189,318.9,1296.272
1190,319.0,1307.477
1191,319.1,1321.0
1192,319.2,1337.178
1193,319.3,1356.149
1194,319.4,1378.0
1195,319.5,1402.83
1196,319.6,1430.78
1197,319.7,1462.0
1198,319.8,1496.613
1199,319.9,1534.622
1200,320.0,1576.0
1201,320.1,1620.719
1202,320.2,1668.734
1203,320.3,1720.0
1204,320.4,1774.439
1205,320.5,1831.85
1206,320.6,1892.0
1207,320.7,1954.6
1208,320.8,2019.127
1209,320.9,2085.0
1210,321.0,2151.643
1211,321.1,2218.495
1212,321.2,2285.0
1213,321.3,2350.58
1214,321.4,2414.567
1215,321.5,2476.271
1216,321.6,2535.0
1217,321.7,2590.049
1218,321.8,2640.645
1219,321.9,2686.0
1220,322.0,2725.372
1221,322.1,2758.208
1222,322.2,2784.0
1223,322.3,2802.276
1224,322.4,2812.708
1225,322.5,2815.0
1226,322.6,2808.93
1227,322.7,2794.554
1228,322.8,2772.0
1229,322.9,2741.413
1230,323.0,2703.004
1231,323.1,2657.0
1232,323.2,2603.715
1233,323.3,2543.802
1234,323.4,2478.0
1235,323.5,2407.052
1236,323.6,2331.723
1237,323.7,2252.782
1238,323.8,2171.0
1239,323.9,2087.135
1240,324.0,2001.9
1241,324.1,1916.0
1242,324.2,1830.162
1243,324.3,1745.212
1244,324.4,1662.0
1245,324.5,1581.255
1246,324.6,1503.216
1247,324.7,1428.0
1248,324.8,1355.781
1249,324.9,1286.961
